Family name,Title,Personal name,Fate,Age,Department/Class,Passenger/Crew,Citizenship,Adult/Minor,Sex,age_was_imputed
MANNING,Mr.,Peter,saved,32.0,Engineering,Crew,British,Adult,male,False
MARKEY,Mr.,Patrick,lost,30.0,Engineering,Crew,British,Adult,male,False
MARRION,Mr.,John,lost,32.0,Engineering,Crew,British,Adult,male,False
MARTIN,Mr.,Albert,saved,32.0,Engineering,Crew,British,Adult,male,False
McADAM,Mr.,Michael,lost,32.0,Engineering,Crew,British,Adult,male,False
McALEAVEY,Mr.,Thomas,saved,32.0,Engineering,Crew,British,Adult,male,False
McALEER,Mr.,James,lost,32.0,Engineering,Crew,British,Adult,male,False
McATEER,Mr.,Francis,lost,32.0,Engineering,Crew,British,Adult,male,False
McBRIDE,Mr.,Peter,lost,52.0,Engineering,Crew,British,Adult,male,False
McCABE,Mr.,Andrew,lost,32.0,Engineering,Crew,British,Adult,male,False
McCABE,Mr.,John Alexander,lost,32.0,Engineering,Crew,British,Adult,male,False
McCABE,Mr.,Richard,lost,32.0,Engineering,Crew,British,Adult,male,False
McCANN,Mr.,Thomas Michael,lost,22.0,Engineering,Crew,British,Adult,male,False
McCANN,Mr.,Owen,lost,30.0,Engineering,Crew,British,Adult,male,False
McCARTHY,Mr.,Patrick,saved,32.0,Engineering,Crew,British,Adult,male,False
McCARTHY,Mr.,Bartholomew,lost,32.0,Engineering,Crew,British,Adult,male,False
McCLEAN,Mr.,Robert,lost,32.0,Engineering,Crew,British,Adult,male,False
McCORMICK,Mr.,James,lost,44.0,Engineering,Crew,British,Adult,male,False
McCUTCHEON,Mr.,Thomas,lost,32.0,Engineering,Crew,British,Adult,male,False
McDERMOTT,Mr.,Eugene,saved,32.0,Engineering,Crew,British,Adult,male,False
McDERMOTT,Mr.,Thomas,lost,32.0,Engineering,Crew,British,Adult,male,False
McDONALD,Mr.,James,lost,32.0,Engineering,Crew,British,Adult,male,False
McDONALD,Mr.,John,lost,32.0,Engineering,Crew,British,Adult,male,False
McEVOY,Mr.,John,saved,32.0,Engineering,Crew,British,Adult,male,False
McGEOUGH,Mr.,Michael,lost,30.0,Engineering,Crew,British,Adult,male,False
McGINTY,Mr.,Thomas,saved,32.0,Engineering,Crew,British,Adult,male,False
McGOWAN,Mr.,Joseph,saved,32.0,Engineering,Crew,British,Adult,male,False
McGUGAN,Mr.,Donald,saved,32.0,Engineering,Crew,British,Adult,male,False
McGUGAN,Mr.,Walter,lost,32.0,Engineering,Crew,British,Adult,male,False
McGUINESS,Mr.,Bernard,saved,32.0,Engineering,Crew,British,Adult,male,False
McKENNA,Mr.,Bernard,lost,29.0,Engineering,Crew,British,Adult,male,False
McKENNA,Mr.,Frank,saved,32.0,Engineering,Crew,British,Adult,male,False
McKENNA,Mr.,John,lost,32.0,Engineering,Crew,British,Adult,male,False
McKENNA,Mr.,Patrick,saved,32.0,Engineering,Crew,British,Adult,male,False
McKINDREY,Mr.,Andrew,saved,32.0,Engineering,Crew,British,Adult,male,False
McLOUGHLIN,Mr.,John,lost,32.0,Engineering,Crew,British,Adult,male,False
McMAHON,Mr.,Patrick,lost,37.0,Engineering,Crew,British,Adult,male,False
McMAHON,Mr.,P.,saved,32.0,Engineering,Crew,British,Adult,male,False
McNULTY,Mr.,Peter,lost,30.0,Engineering,Crew,British,Adult,male,False
McPARLAND,Mr.,Terence,lost,26.0,Engineering,Crew,British,Adult,male,False
McSTAY,Mr.,John,saved,32.0,Engineering,Crew,British,Adult,male,False
MELIA,Mr.,Patrick,lost,50.0,Engineering,Crew,British,Adult,male,False
MITCHELL,Mr.,John,lost,32.0,Engineering,Crew,British,Adult,male,False
MOLDEN,Mr.,James,lost,32.0,Engineering,Crew,British,Adult,male,False
MORAN,Mr.,Patrick,saved,32.0,Engineering,Crew,British,Adult,male,False
MORAN,Mr., James,saved,32.0,Engineering,Crew,British,Adult,male,False
MORRICE,Mr.,David,lost,32.0,Engineering,Crew,British,Adult,male,False
MORRIS,Mr.,John,lost,32.0,Engineering,Crew,British,Adult,male,False
MURPHY,Mr.,Dennis,saved,23.0,Engineering,Crew,British,Adult,male,False
MURPHY,Mr.,Matthew,lost,58.0,Engineering,Crew,British,Adult,male,False
MURPHY,Mr.,James,saved,32.0,Engineering,Crew,British,Adult,male,False
MYLASKA,Mr.,C.,lost,32.0,Engineering,Crew,British,Adult,male,False
MYLES,Mr.,Peter,lost,17.0,Engineering,Crew,British,Minor,male,False
NEEDHAM,Mr.,Patrick,saved,47.0,Engineering,Crew,British,Adult,male,False
NEEDHAM,Mr.,John,lost,32.0,Engineering,Crew,British,Adult,male,False
NEWBY,Mr.,John,saved,32.0,Engineering,Crew,British,Adult,male,False
NORMAN,Mr.,Arthur William,saved,32.0,Engineering,Crew,British,Adult,male,False
NORTON,Mr.,Bernard Patrick,lost,44.0,Engineering,Crew,British,Adult,male,False
O’BRIEN,Mr.,Patrick,lost,32.0,Engineering,Crew,British,Adult,male,False
O’CONNELL,Mr.,John,saved,19.0,Engineering,Crew,British,Adult,male,False
O’HARE,Mr.,Owen,lost,42.0,Engineering,Crew,British,Adult,male,False
O’NEILL,Mr.,Michael,lost,44.0,Engineering,Crew,British,Adult,male,False
O’NEILL,Mr.,Bernard,lost,32.0,Engineering,Crew,British,Adult,male,False
O’NEILL,Mr.,James,saved,32.0,Engineering,Crew,British,Adult,male,False
O’NEILL,Mr.,Paul,saved,32.0,Engineering,Crew,British,Adult,male,False
ORANGE,Mr.,John,lost,24.0,Engineering,Crew,British,Adult,male,False
ORMROD,Mr.,Thomas,lost,40.0,Engineering,Crew,British,Adult,male,False
ORMROD,Mr.,James,lost,41.0,Engineering,Crew,British,Adult,male,False
OSBORNE,Mr.,J.,lost,32.0,Engineering,Crew,British,Adult,male,False
OSTERBURG,Mr.,August,saved,32.0,Engineering,Crew,Russian,Adult,male,False
OWENS,Mr.,Richard,lost,32.0,Engineering,Crew,British,Adult,male,False
PALMER,Mr.,Thomas,lost,32.0,Engineering,Crew,British,Adult,male,False
PATON,Mr.,J. F. ,lost,32.0,Engineering,Crew,Brazilian,Adult,male,False
PAYNE,Mr.,Michael,lost,32.0,Engineering,Crew,British,Adult,male,False
PIMBLETT,Mr.,James,lost,32.0,Engineering,Crew,British,Adult,male,False
PLUMMER,Mr.,Leslie,saved,32.0,Engineering,Crew,British,Adult,male,False
POWELL,Mr.,Edward,saved,32.0,Engineering,Crew,British,Adult,male,False
POWER,Mr.,Daniel,saved,32.0,Engineering,Crew,British,Adult,male,False
QUARRIE,Mr.,Walter Scott,lost,32.0,Engineering,Crew,British,Adult,male,False
QUINN,Mr.,George,lost,32.0,Engineering,Crew,British,Adult,male,False
RAFFERTY,Mr.,Joseph,lost,23.0,Engineering,Crew,British,Adult,male,False
RAFFERTY,Mr.,Patrick,saved,32.0,Engineering,Crew,British,Adult,male,False
RALPH,Mr.,M.,saved,32.0,Engineering,Crew,British,Adult,male,False
RATCLIFF,Mr.,Peter,lost,32.0,Engineering,Crew,British,Adult,male,False
REYNOLDS,Mr.,Patrick,saved,32.0,Engineering,Crew,British,Adult,male,False
RICE,Mr.,Michael,lost,60.0,Engineering,Crew,British,Adult,male,False
RICE,Mr.,Stephen,saved,32.0,Engineering,Crew,British,Adult,male,False
RIGBY,Mr.,G.,lost,24.0,Engineering,Crew,British,Adult,male,False
ROACH(E),Mr.,James,lost,32.0,Engineering,Crew,British,Adult,male,False
